workbook,complex,very_complex,exceptionally_complex,formula_cells,total,mean,max,p10,p50,p90
3.211288.OAKAEA0M5XA15KOOHZHCOFRZWLQ3WGCUB.1.xlsx,0,0,0,0,268,0.500,0.500,0.500,0.500,0.500
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.1.xlsx,9707,3984,0,0,21538,1.831,4.500,0.500,1.100,4.500
3.357415.PQY0T0QTXOB4FZC3GKNNF4EY0WCBNWMLA.16.xlsm,1471,1099,3254,4,6355,5.532,15.300,2.200,5.000,9.600
3.859151.IUBPOMBOWHO34VMHPJHVYSPQLSV3K5QOB.1.xlsx,204,0,0,84,517,1.119,2.800,0.300,0.900,2.200
3.1179893.HHTNIK5ARL131HIRWE5PA3UDAFF4GYD2A.3.xlsx,267,0,0,0,327,1.900,2.800,0.200,2.200,2.500
3.1167143.CAWWC5MC0VPSC0TGQW41NOBB3T14ECPGA.1.xlsx,180,0,0,0,2790,0.675,2.400,0.400,0.600,0.700
3.1030489.ABNAEK01ZXY53XQP11I3VLKYSVIK1KYFB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.1177431.HROLE4QE0TR31XZK04M0R2QFB3HDODKJA.1.xlsx,507,1,0,1293,5156,0.504,3.800,0.300,0.300,0.600
suicidestate.xlsx,0,0,0,0,102,0.550,0.700,0.400,0.700,0.700
3.397095.OXB02S55HKIFURU0IHEP2KBWRK1ANFKRB.3.xlsx,2126,292,1207,0,8527,2.199,15.000,0.200,0.500,5.300
3.357838.A0R32JDMZSRA4VSFLWE2EQV0GZH4E12VB.2.xlsx,28,0,91,53,1384,0.837,5.300,0.200,0.600,0.600
3.62310.DU52COUMCRB3IQ4GYJERH442KPKYJAUGA.1.xlsx,98,0,0,6,549,0.778,2.200,0.200,0.500,2.200
3.884115.KQS1U3MJYW1PZKJP4C0LOXMDKHLBE4FQA.1.xlsm,20092,0,0,0,20114,2.697,2.700,2.700,2.700,2.700
3.212785.E0PCYWAMULGUK1FRP5EOVOQRJRGCT1YJA.2.xlsm,197,5,0,20,823,0.903,3.900,0.200,0.600,2.200
3.1136871.NG22DCD5B5WNL5RTNQDTUGIC4SG3QH4CB.1.xlsx,0,0,0,0,624,0.533,0.600,0.400,0.600,0.600
3.361512.LIR1KQZO5L4NRBBFPCMS3XFYGWUQ2XMSB.1.xlsm,832,556,1548,8,6044,2.207,9.100,0.200,0.700,5.900
hist4q_e.xlsx,272,0,0,70,336,2.171,2.800,0.500,2.500,2.800
3.552198.HT3BBDNMCNTFA3VR03PGRLYCPTKH0NLJB.1.xlsm,64,0,2,48,110,1.726,6.900,0.500,2.200,2.500
3.268191.GL2UHP4LWKEO20A2TJRYTEXVJX1HEB0ZA.3.xlsm,1147,2,0,0,1795,1.702,3.200,0.200,2.400,2.500
v1tmp.xlsm,173,60,199,6,1108,1.830,23.600,0.200,0.600,5.300
3.441132.EGLAWHSBNEOUVDAMA3JDNVITTY3HPZMWA.1.xlsx,94,0,0,0,1995,0.609,2.600,0.300,0.600,0.900
3.683395.N0BCWWNXEZC1IRZH4OHXEKMTPCRWWJOPA.1.xlsx,81,0,0,12,81,2.200,2.200,2.200,2.200,2.200
3.839048.CF1JLW0PYO0BHZZ2FYJTX0SU2M5J1SQVB.1.xlsx,61,488,1681,89,5859,2.910,8.500,0.200,0.300,8.500
Grades-template.xlsx,34,204,102,0,915,2.151,7.500,0.300,0.500,6.900
3.189152.HBP5WDVNHU4NLW5CRX3BRZHPKOWBBFULB.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.1227043.MYVZIN24FJHYKOQRA4U0T1C4RJ22POYZA.1.xlsx,116,0,0,1,504,0.617,2.000,0.200,0.500,1.300
3.834940.CIUKHWLIWMNLQOATYHNNWJIFE0HKM3GFA.1.xlsx,4736,1139,2079,136,7955,4.236,10.200,2.400,2.400,8.700
3.391271.HJY5TEU1RY031W4TZETIQTV40M4YSAHNA.1.xlsx,81,6,120,0,414,2.290,5.700,0.200,2.200,5.700
3.72870.IWUXFLINXBNPDWKCLMPXJO3M4MZRIQNPB.1.xlsx,440,63,1,42,2151,0.859,5.000,0.200,0.500,2.200
