workbook,dropdowns,numbers,booleans,dates,strings,xrefs,total,composite
03-1-report-annex-4.xlsx,0,536,0,0,233,0,769,7.27
03_04cor.xlsx,0,956,0,0,5720,0,6676,2.29
03_Quarterly_Chapter_#A840A.xlsx,0,303,0,4,123,0,430,7.43
05-98-024.xlsx,0,214,0,0,546,0,760,3.53
0Fall00Eval.xlsx,0,261,0,0,100,189,552,39.15
1010-004-post4.xlsx,0,1140,0,0,85,0,1225,9.38
1999%20PWR%20Effluent-DRAFT.xlsx,0,545,0,0,1364,0,1909,3.57
1999-2001.xlsx,0,510,0,0,433,0,943,5.87
1999-2002_MATH_Grades#A8B8A.xlsx,0,1056,0,0,94,0,1150,9.26
1A6EGrades.xlsx,0,1356,0,0,182,0,1538,8.93
2000_places_School.xlsx,0,1661,0,0,750,0,2411,7.20
2003-4%20budget.xlsx,0,654,0,0,507,0,1190,5.92
2003113145043.xlsx,2,222,0,0,272,0,496,5.43
296-ratios.xlsx,0,205,0,0,174,0,381,5.84
2k00.xlsx,0,321,0,0,537,0,858,4.37
3.100048.I5A3JU3YROTDCWKBWPGYDWEZT1AEG3JLA.1.xlsx,0,2004,0,187,1229,0,3459,6.69
3.100095.CZXSV0IHLI1DWHMDM4AAUQ2CNZAZ0YIFA.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.100096.OEYUFR0U5MBDZBJHOUL0PK53NCOYCVVSB.1.xlsx,0,1060,0,0,885,0,1962,5.85
3.1001331.E1AENX1LFN5J5BA1XZWUZHE2BVRCYUAEB.2.xlsx,0,450,0,18,647,0,1115,4.78
3.1001331.E1AENX1LFN5J5BA1XZWUZHE2BVRCYUAEB.3.xlsx,0,444,0,18,636,0,1098,4.79
3.1003386.GJZTXFWGJOT242I5MHCCFSHEX3PWAM4VB.1.xlsx,0,6136,0,974,82,0,7846,9.07
3.1003849.P3RN0MIPIKR3LCXIZPKSSMFJ5IZSCGJAB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1004570.FFHXMKWBFQQH53ODUGGKVDYNHF3CBN4FA.1.xlsx,0,746,0,0,339,0,1085,7.19
3.1005187.MKJHMSHLEDSBPQTOMDKIDABDJJLDFLMGB.1.xlsx,0,746,0,0,339,0,1085,7.19
3.1005419.OS3KHBU04HDFUGJNIFFS4F4SAGCFE0UQA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1005436.CKS4BQVYMMKG3QP2DSPBXNRF1PTZLK0AB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1006340.HYHMNBFOUSFL1IWFGAA4NDVBYM3S1V3YB.1.xlsx,0,746,0,0,339,0,1085,7.19
3.100644.ENS4OEK1TD5A4NI0PVQ13HOPCNKSXDWMA.1.xlsx,0,1509,0,39,1219,0,2819,5.92
3.100649.J4WKNHWT24TVXDPLATADPL0K5O1TU3MUA.1.xlsx,0,1060,0,0,888,0,1965,5.85
3.1006769.NZ1LT1YJX4FIB5M1OVNQGP2IURTYVNPSA.1.xlsx,0,746,0,0,339,0,1085,7.19
3.1007016.FJIRIL1OCQTGTQQEKNKS4O01LU10YLUUA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1007198.GXQ21NYC055RCH2ITD02NY2S5L23MULUB.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1009443.MNJBJKSSX32B3XIZJJPFQGAFDKESHQ1JA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1009460.EUIFNNQLUVSF0HCZ434UH0NAKOITEWGVA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1009479.MSSRJWAPIS3ZNLGL0I40OX0P13SVAFY3A.1.xlsx,0,434,0,104,42,0,583,9.30
3.101269.HYZ3B4BTN2HKNADPWEHAAM0GVXNORIUXA.1.xlsx,0,424,0,0,200,0,624,7.12
3.1013228.NSNSGQAFQP2FCDBWQ4AVUNGW3TKWCHZ4B.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1013389.NMKZUBFTCO20AP15SJONFBMA0GPKQAYHA.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1014178.IYQKZBVKQ2A3ZEE4HVKWZDSKRJIZM1HIB.1.xlsx,0,746,0,0,339,0,1085,7.19
3.1014362.JEBXYC2S2MOFOSEWOYNYM11YUWIYRXTGB.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1015353.GVK0I2KYEN1O01CFBAFRWZQ03MSPUFXLB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1017416.HSCXZDFD4VKKZPFPGRC2T1ZVHPBTW5NUB.1.xlsx,0,746,0,0,339,0,1085,7.19
3.1018026.ME1PSSAZYP43GWQOBSRWOSBEBETIRO3IB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1018040.GKVGIY5AE0BMRM3EZV3IGOG2DDIP5C01A.1.xlsx,0,434,0,104,42,0,583,9.30
3.1018414.B21JJGJWSPYFLNPLL1GTVVWT20CFQSNUA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1020518.OQD3TGCWYWKCFYMDGPGOU3FCP5I002WZA.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1021874.NDE5QMAZHLKGVXYCGRRY4TU4LAKRS5JUA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1022045.KC13ZK5SJEWNPLFRXJUT2Z2XFBZMCWDNB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1022620.PHUYXF4M2JI2NM5IZWLDNFLZJQ0TWCVTA.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1023552.DU2XKYAM3R1BGAYQ5X3T3MMZL5ZGDYIIA.1.xlsx,0,4563,0,0,1811,0,6374,7.44
3.1023654.LHWIF4GGKOIRAYZI1DCYKMWNAJUAWJFKA.1.xlsx,0,6136,0,974,82,0,7846,9.07
3.1023720.GU0OSXXBJOTOXNM3YFYT3WFLYW0XE4EEA.1.xlsx,0,6136,0,974,82,0,7846,9.07
3.1023782.PXJOPPYVEYHTPBLGA4SAZQZUB1XO0FUWA.1.xlsx,0,6136,0,974,82,0,7846,9.07
3.1024117.ASIGPO5D0ZVYKBQBXDYACKI4SPBJGEIFB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1025264.CCYNNDSX4BW4SHWGP4CVBDT0MMOWAQVFA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1028206.ICGKYEWUZW2XFFOMALK5UZLJVHDE2ELOA.2.xlsx,0,450,0,18,647,0,1115,4.78
3.1028206.ICGKYEWUZW2XFFOMALK5UZLJVHDE2ELOA.3.xlsx,0,444,0,18,636,0,1098,4.79
3.1028915.EZLCQMYVG1ZA14IEFVWYUIEPYCTO5CJGB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1029150.LDG4BNMLXOIEMHZX4GSW1IAWGABCVSH0B.1.xlsx,0,434,0,104,42,0,583,9.30
3.1029179.CSYRUNTJVN4YRMF3AK4AKFHQFKRMHBBMB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1029267.AVEIYV2F2AQFZCIP5QVSLO0OE2IKZZ21B.1.xlsx,0,6136,0,974,82,0,7846,9.07
