workbook,circular,mean,max,p10,p50,p90
03-1-report-annex-4.xlsx,0,1.98,3.00,1.00,2.00,3.00
03_04cor.xlsx,0,1.00,1.00,1.00,1.00,1.00
03_Quarterly_Chapter_#A840A.xlsx,0,0.97,1.00,1.00,1.00,1.00
05-98-024.xlsx,0,1.01,2.00,1.00,1.00,1.00
0Fall00Eval.xlsx,0,1.20,2.00,0.00,2.00,2.00
1010-004-post4.xlsx,0,1.45,3.00,1.00,1.00,3.00
1999%20PWR%20Effluent-DRAFT.xlsx,0,1.47,4.00,1.00,1.00,2.00
1999-2001.xlsx,0,1.22,5.00,1.00,1.00,2.00
1999-2002_MATH_Grades#A8B8A.xlsx,0,1.12,2.00,1.00,1.00,2.00
1A6EGrades.xlsx,0,1.00,1.00,1.00,1.00,1.00
2000_places_School.xlsx,0,1.00,1.00,1.00,1.00,1.00
2003-4%20budget.xlsx,0,1.70,5.00,1.00,2.00,3.00
2003113145043.xlsx,0,2.03,9.00,1.00,1.00,4.00
296-ratios.xlsx,0,2.66,9.00,1.00,2.00,5.00
2k00.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.100048.I5A3JU3YROTDCWKBWPGYDWEZT1AEG3JLA.1.xlsx,0,3.80,42.00,1.00,2.00,7.00
3.100095.CZXSV0IHLI1DWHMDM4AAUQ2CNZAZ0YIFA.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.100096.OEYUFR0U5MBDZBJHOUL0PK53NCOYCVVSB.1.xlsx,0,3.33,41.00,1.00,2.00,6.00
3.1001331.E1AENX1LFN5J5BA1XZWUZHE2BVRCYUAEB.2.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1001331.E1AENX1LFN5J5BA1XZWUZHE2BVRCYUAEB.3.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1003386.GJZTXFWGJOT242I5MHCCFSHEX3PWAM4VB.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1003849.P3RN0MIPIKR3LCXIZPKSSMFJ5IZSCGJAB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1004570.FFHXMKWBFQQH53ODUGGKVDYNHF3CBN4FA.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.1005187.MKJHMSHLEDSBPQTOMDKIDABDJJLDFLMGB.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.1005419.OS3KHBU04HDFUGJNIFFS4F4SAGCFE0UQA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1005436.CKS4BQVYMMKG3QP2DSPBXNRF1PTZLK0AB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1006340.HYHMNBFOUSFL1IWFGAA4NDVBYM3S1V3YB.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.100644.ENS4OEK1TD5A4NI0PVQ13HOPCNKSXDWMA.1.xlsx,0,4.10,42.00,1.00,3.00,7.00
3.100649.J4WKNHWT24TVXDPLATADPL0K5O1TU3MUA.1.xlsx,0,3.34,41.00,1.00,2.00,6.00
3.1006769.NZ1LT1YJX4FIB5M1OVNQGP2IURTYVNPSA.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.1007016.FJIRIL1OCQTGTQQEKNKS4O01LU10YLUUA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1007198.GXQ21NYC055RCH2ITD02NY2S5L23MULUB.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1009443.MNJBJKSSX32B3XIZJJPFQGAFDKESHQ1JA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1009460.EUIFNNQLUVSF0HCZ434UH0NAKOITEWGVA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1009479.MSSRJWAPIS3ZNLGL0I40OX0P13SVAFY3A.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.101269.HYZ3B4BTN2HKNADPWEHAAM0GVXNORIUXA.1.xlsx,0,1.26,4.00,0.00,1.00,2.00
3.1013228.NSNSGQAFQP2FCDBWQ4AVUNGW3TKWCHZ4B.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1013389.NMKZUBFTCO20AP15SJONFBMA0GPKQAYHA.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1014178.IYQKZBVKQ2A3ZEE4HVKWZDSKRJIZM1HIB.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.1014362.JEBXYC2S2MOFOSEWOYNYM11YUWIYRXTGB.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1015353.GVK0I2KYEN1O01CFBAFRWZQ03MSPUFXLB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1017416.HSCXZDFD4VKKZPFPGRC2T1ZVHPBTW5NUB.1.xlsx,0,13.44,99.00,1.00,1.00,60.00
3.1018026.ME1PSSAZYP43GWQOBSRWOSBEBETIRO3IB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1018040.GKVGIY5AE0BMRM3EZV3IGOG2DDIP5C01A.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1018414.B21JJGJWSPYFLNPLL1GTVVWT20CFQSNUA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1020518.OQD3TGCWYWKCFYMDGPGOU3FCP5I002WZA.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1021874.NDE5QMAZHLKGVXYCGRRY4TU4LAKRS5JUA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1022045.KC13ZK5SJEWNPLFRXJUT2Z2XFBZMCWDNB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1022620.PHUYXF4M2JI2NM5IZWLDNFLZJQ0TWCVTA.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1023552.DU2XKYAM3R1BGAYQ5X3T3MMZL5ZGDYIIA.1.xlsx,0,0.58,1.00,0.00,1.00,1.00
3.1023654.LHWIF4GGKOIRAYZI1DCYKMWNAJUAWJFKA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1023720.GU0OSXXBJOTOXNM3YFYT3WFLYW0XE4EEA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1023782.PXJOPPYVEYHTPBLGA4SAZQZUB1XO0FUWA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1024117.ASIGPO5D0ZVYKBQBXDYACKI4SPBJGEIFB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1025264.CCYNNDSX4BW4SHWGP4CVBDT0MMOWAQVFA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1028206.ICGKYEWUZW2XFFOMALK5UZLJVHDE2ELOA.2.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1028206.ICGKYEWUZW2XFFOMALK5UZLJVHDE2ELOA.3.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1028915.EZLCQMYVG1ZA14IEFVWYUIEPYCTO5CJGB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1029150.LDG4BNMLXOIEMHZX4GSW1IAWGABCVSH0B.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1029179.CSYRUNTJVN4YRMF3AK4AKFHQFKRMHBBMB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1029267.AVEIYV2F2AQFZCIP5QVSLO0OE2IKZZ21B.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1030489.ABNAEK01ZXY53XQP11I3VLKYSVIK1KYFB.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1030677.F0QBNRHDTRJ0I0V2ICWVK1W4HVGAU4J5A.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1030818.HDOIASTWAUQQTZNY3P4DBKFYIC0C55P2A.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1031067.ODGZ20XLZW0DJ1JOFKQEKYRAD0JX3PTRA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1031772.HJ3JT0WQ45CXDY33YTNWJ3AOQ4A0F1HGA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1031785.K0RDFFIRYRV4CQCI11HMGDQWVPQKMPL0A.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1032640.MWYSOYZKQUES1CSUNWKRANPFQE3GUNIJA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1033761.EOVYOXLJVRSJIV5HGVSZBRSRMSLTMNDJB.2.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1033761.EOVYOXLJVRSJIV5HGVSZBRSRMSLTMNDJB.3.xlsx,0,1.96,4.00,1.00,2.00,4.00
3.1034466.GGDM0FCKZSU43TNJCBDFMW1USMDL1SNLA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1034609.P2UMWTOLXF2GCZUHLG4CCWWYZR2GKLLCA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.1038120.JAEQXA0GYUJMGWT12RNBQCX4EGDXSF1RA.1.xlsx,0,1.03,2.00,0.00,1.00,2.00
3.104091.EL2S5RGHX3O5FE5P34ZQ5JQMF2YOANOPB.1.xlsx,0,2.19,5.00,1.00,2.00,3.00
3.104600.GJREWWBQ55WPBMI5SU0EOXUUJSFCXBYGA.1.xlsx,0,2.19,5.00,1.00,2.00,3.00
3.105483.PUTCVTEZ2OAHXX4PRLBT3UAUQZAUYS1ZA.1.xlsx,0,2.69,9.00,1.00,2.00,6.00
3.105484.LN04CMCDLEUVUBJKPARFVXW3J3VWFTUEA.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.105485.CFD32DGD5CWG32TPTEK03IZ0GFCP4L5CB.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.105527.BV0LYXOKU3E4JYDMMTXZ2AMBDFVL1B5QB.2.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.105528.BVEQIXG5QCLD21OX1A2MQPZ1VWIYLIQWB.1.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.106115.A22SPDV3QVECY0D515K5NWAO0NSXUI3LB.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.106126.KFTJGUM1GJRXZCJGQSSD01A25ENDLELKB.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.106801.FU00AMNDDMXPVKWOOD13UXY0GTPASY0EA.1.xlsx,0,86.44,275.00,2.00,64.00,215.00
3.106801.FU00AMNDDMXPVKWOOD13UXY0GTPASY0EA.4.xlsx,0,86.47,275.00,2.00,64.00,215.00
3.107048.JKQ0EWVRZK2Q0T3K0WXRYFLPOE4L5YSOA.1.xlsx,0,3.23,10.00,1.00,2.00,8.00
3.107055.F1V1FJ24NUOEX5GCSTHOK0MAW45IBGNCB.1.xlsx,0,50.19,151.00,3.00,36.00,125.00
3.107505.GEDVPNJ2UNM3FF0JJVGWFU3GDHQTUBV3B.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.107582.IONP5E2WZXWVWHEHOCYBVIRGVQB5I2OFA.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.107680.HJA0NJ24EFDZHCWEOQNIQP4B3OAHYR4QB.2.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.108453.KJDJDUULMCDQBJORUQRX4UHG3SJE10WVA.1.xlsx,0,4.10,42.00,1.00,3.00,7.00
3.108499.E2MWWIMRQV2J2KIUTOJSHHBAJVV1MBKYB.1.xlsx,0,2.69,9.00,1.00,2.00,6.00
3.109523.AE4J13ZJRQLI4OQOUCXXK0MRW4XEX3TZA.2.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.109524.PUMFPDHBUGM3S0O0C1DR4TGAAX5MKTUNA.1.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.109580.J21MUSNQ2TZPEYZG5OJGHHY3D40CM2BSB.1.xlsx,0,2.69,9.00,1.00,2.00,6.00
3.109581.MNWVPQ4PN3JWOOFVX4D2DAHZSN41GYY5A.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.109582.IJP3XKHUB2M1TIWD14JPOJ2BGUL31Y41B.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.109702.H4S2YWLEUF0VEMWBFXG1UX4RBAMQUZMHA.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.110169.IQSXTWNQRLDPQ3LXU3QOAY3HOHRTWNQWA.1.xlsx,0,1.26,4.00,0.00,1.00,2.00
3.110610.FZGIY4HKARJKNGNIIETK2D4A3XVUTXHWB.1.xlsx,0,3.23,10.00,1.00,2.00,8.00
3.110739.OKIEQBBMAYL2JDXLGNVPSHNQJOPGLD0YB.1.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.111357.BPSON05PXPU44OCNM1L0DUDJ2AMXOOD2B.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.111369.P5CFET3DYPMLS1AXSZL3CGCMQCQZM3SOB.2.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.111370.F11B0OWCJVY4DPVMZUQXHVMQ1MJBPYF2B.1.xlsx,0,1.00,3.00,1.00,1.00,1.00
3.112104.NHTB4T51HNABKPNFJYXPOE5RAMBYQL5AB.1.xlsx,0,2.19,5.00,1.00,2.00,3.00
3.112603.LGBQRXCT53SYPICXYT12PU0N0YD2CMIOA.1.xlsx,0,1.26,4.00,0.00,1.00,2.00
3.113108.JLP0SOAU5HWWS5SKH2BD5W0ZHCOA4RO4A.1.xlsx,0,2.19,5.00,1.00,2.00,3.00
3.1131518.GNPPEHWU34OTH0CK5ZZSKPJ0223CKBKBA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1131816.BFDV0OJ2NFHXC1QE0U3WLB13WYXV3EMNA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1131890.CCQ4F5H4SUXVKQBMUEKDO5FDE21UOGAWA.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1131894.BVLSJ4VFBLAPVSGEXU2V3DXW1HL20QSXB.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1131926.K03VKA4ZCCUICSDD53JB5S1TOPBPWVPQB.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1131961.LCDBKUVN0QTF2C3YKZVQFPBSB0SE3AR5A.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1131972.PHSAIZMGL3NKBQ5AKIILPXMKWRCV00UAA.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1132022.LNTB4YFWWBEWJXPGJQYCB4GVE4JFIMD0A.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1132023.I35K4DOJ5IZANKDE5ERFWXZRKV1ABZVEA.1.xlsx,0,0.47,1.00,0.00,0.00,1.00
3.1132024.HCKD3S1NFLCRZAJFCAJPG3QCWWLSHBM4B.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1132025.GHPW4H0P1EGEK3AQNHM4AG4B5LR12EKYB.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1132027.GEX5APR3YSIL3HMRWMZLEY14C5WIVGMKB.1.xlsx,0,0.46,1.00,0.00,0.00,1.00
3.1132058.K15QOPU32UCLX4TW2B5ZSBOQFLXJPSAYB.1.xlsm,0,0.97,4.00,0.00,1.00,2.00
3.1132066.HALPSRIJ4HL0Y1PPYBUEP3LGBLQX1W3BB.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1132158.EDQRYM0AY54AZIB2FEU52KJQYWLAPWYYB.1.xlsm,0,1.72,4.00,1.00,2.00,2.00
3.113237.E2BQ3PXGKSSW0FRUPSHJH0XFWLG4FNLGA.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.113238.G10NVWQCUV4AFU2BL0R2BU51HWLZRQGEB.1.xlsx,0,0.80,1.00,0.00,1.00,1.00
3.113239.F5DTQN4XIK3JJWZSEHCCZJY4BYIFHDCFB.1.xlsx,0,2.69,9.00,1.00,2.00,6.00
3.1132405.NR1HAOS2TXHLSRGWDEZU2WQ1O4JOM3H1A.1.xlsx,0,1.00,1.00,1.00,1.00,1.00
3.1133330.APX45ABM1MPUW5YVQDWNUO43NAKO5EFJB.1.xlsm,0,0.91,1.00,1.00,1.00,1.00
3.1134356.LNPRBMAHHVYX1UC5BVVZARPCK4EV2FMCA.1.xlsx,0,0.49,2.00,0.00,0.00,1.00
3.1134357.HAMZVVAVLB5FHZRUJ4VIBEANI5OTGPL0A.1.xlsx,0,0.50,2.00,0.00,0.00,1.00
3.1134358.AQU3UCE2BKRAUAMYBR2WDOGT2WF4W11QB.1.xlsx,0,0.49,2.00,0.00,0.00,1.00
3.1134365.MCXW1252Y3LIL3YTXQOVE1DCD1H0I1VBB.1.xlsx,0,0.51,2.00,0.00,0.00,1.00
3.1134368.ALUNBGH2ZUM55TIXQB41DGVOP2Q1ETCOB.1.xlsx,0,0.51,2.00,0.00,0.00,1.00
3.1134370.KMF5SW2GDGTAIII51WKOCDK0K14DHUAQA.1.xlsx,0,0.51,2.00,0.00,0.00,1.00
3.1134377.DLSQTYV3UNO2BZPEES05AP5BPAYDLJJ3B.1.xlsx,0,0.51,2.00,0.00,0.00,1.00
3.1134380.PHC4DONEXE1QVUFWZQPCAIYYQDQMOJRZB.1.xlsx,0,0.53,2.00,0.00,1.00,1.00
3.1134384.BE5U1WK5JRSYGPDSBH5QE5VY15A4BUVIA.1.xlsx,0,0.59,2.00,0.00,1.00,1.00
3.1134385.OIX2K3TZV1AUJLUGSIRT5GXJ1QRCGA2LB.1.xlsx,0,0.62,2.00,0.00,1.00,1.00
3.1134386.OL4CYAYETI35ZAAGFAUCMZCR2M1OE4KHA.1.xlsx,0,0.55,2.00,0.00,1.00,1.00
3.1134390.D2OEQNSG2H3N1MNBKOPGDMVIVL43XCDTB.1.xlsx,0,0.62,2.00,0.00,1.00,1.00
3.113472.AJ4CN4BWOU1G5JDJZTC0YVK2E10XZCJVB.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1135730.F4KMYT2QV3GA2Q1S5Z03DQIQ1SOB5KYSA.1.xlsx,0,0.48,2.00,0.00,0.00,1.00
3.1136871.NG22DCD5B5WNL5RTNQDTUGIC4SG3QH4CB.1.xlsx,0,1.67,2.00,1.00,2.00,2.00
3.1137035.HCQWNXWJ0FSXDPYL2DA3OO3VN1ADOXGCB.1.xlsx,0,29.72,1454.00,0.00,0.00,32.00
3.1138199.C2LUACCLBOUGQOF442TC44IEXQORZL3DB.1.xlsx,0,10.16,25.00,1.00,10.00,21.00
3.1138243.PBVEBXYUDKUIOFFCB1HFBXJLH4TUUDZGB.1.xlsx,0,29.72,1454.00,0.00,0.00,32.00
